Date,Net_Funding_Million_TRY
2024-08-02,-89356.7
2024-08-05,-71389.14
2024-08-06,-23008.67
2024-08-07,25698.7
2024-08-08,49580.8
2024-08-09,50424.6
2024-08-12,-17299.2
2024-08-13,-158256.05
2024-08-14,-175233.8
2024-08-15,-141322.2
2024-08-16,-211214.3
2024-08-19,-262964.57
2024-08-20,-244321.95
2024-08-21,-220831.49
2024-08-22,-151350.9
2024-08-23,-149983.5
2024-08-26,-201835.5
2024-08-27,-234419.82
2024-08-28,-158714.8
2024-08-29,-29232.65
2024-08-30,
2024-09-02,45111.94
2024-09-03,234484.1
2024-09-04,239431.5
2024-09-05,277542.9
2024-09-06,265674.4
2024-09-09,129734.5
2024-09-10,15413.0
2024-09-11,18569.39
2024-09-12,-75513.82
2024-09-13,-139625.56
2024-09-16,-227897.35
2024-09-17,-309659.95
2024-09-18,-308910.4
2024-09-19,-319737.7
2024-09-20,-394899.4
2024-09-23,-321789.8
2024-09-24,-333822.5
2024-09-25,-386522.99
2024-09-26,-406689.34
2024-09-27,-398516.87
2024-09-30,-190797.45
2024-10-01,-261883.46
2024-10-02,-198705.21
2024-10-03,-216624.05
2024-10-04,-246355.1
2024-10-07,-269455.75
2024-10-08,-292410.27
2024-10-09,-332169.95
2024-10-10,-369843.74
2024-10-11,-349368.2
2024-10-14,-397284.2
2024-10-15,-465884.88
2024-10-16,-498556.0
2024-10-17,-456202.61
2024-10-18,-502665.13
2024-10-21,-542912.6
2024-10-22,-539764.8
2024-10-23,-633391.0
2024-10-24,-672919.1
2024-10-25,-541213.5
2024-10-28,-641310.7
2024-10-29,
2024-10-30,-592662.7
2024-10-31,-466633.7
2024-11-01,-428237.5
2024-11-04,-316127.6
2024-11-05,-288173.7
2024-11-06,-292251.8
2024-11-07,-397607.22
2024-11-08,-350386.41
2024-11-11,-389266.78
2024-11-12,-429460.27
2024-11-13,-526634.43
2024-11-14,-552822.2
2024-11-15,-607727.1
2024-11-18,-691359.38
2024-11-19,-670096.05
2024-11-20,-572040.12
2024-11-21,-637919.21
2024-11-22,-611621.8
2024-11-25,-688454.77
2024-11-26,-696910.8
2024-11-27,-578513.2
2024-11-28,-509915.2
2024-11-29,-396288.5
2024-12-02,-483304.2
2024-12-03,-469654.4
2024-12-04,-417052.0
2024-12-05,-366036.49
2024-12-06,-224192.4
2024-12-09,-289911.6
2024-12-10,-316452.3
2024-12-11,-301622.87
2024-12-12,-438822.35
2024-12-13,-443025.0
2024-12-16,-496469.22
2024-12-17,-568849.43
2024-12-18,-493593.67
2024-12-19,-635644.97
2024-12-20,-378155.1
2024-12-23,-519261.9
2024-12-24,-586287.3
2024-12-25,-642742.5
2024-12-26,-878811.9
2024-12-27,-425974.6
2024-12-30,-452829.6
2024-12-31,-250332.0
2025-01-01,
2025-01-02,-797850.37
2025-01-03,-541752.19
2025-01-06,-553834.0
2025-01-07,-652111.9
2025-01-08,-711735.6
2025-01-09,-723410.8
2025-01-10,-787351.75
2025-01-13,-963180.0
2025-01-14,-1061331.5
2025-01-15,-1015851.7
2025-01-16,-1001535.15
2025-01-17,-1069647.1
2025-01-20,-1116108.34
2025-01-21,-1137928.53
2025-01-22,-1091163.1
2025-01-23,-1351389.72
2025-01-24,-777178.3
2025-01-27,-834075.2
2025-01-28,-814747.01
2025-01-29,-775473.8
2025-01-30,-774904.9
2025-01-31,-762637.29
2025-02-03,-808718.34
2025-02-04,-659280.43
2025-02-05,-671599.8
2025-02-06,-751238.44
2025-02-07,-752412.7
2025-02-10,-854142.7
2025-02-11,-947582.35
2025-02-12,-922933.0
2025-02-13,-1192933.16
2025-02-14,-1137305.1
2025-02-17,-1202687.79
2025-02-18,-1163062.59
2025-02-19,-1070175.3
2025-02-20,-863006.2
2025-02-21,-956333.4
2025-02-24,-808238.9
2025-02-25,-880857.25
2025-02-26,-873143.39
2025-02-27,-953713.7
2025-02-28,-893884.89
2025-03-03,-895197.7
2025-03-04,-877811.8
2025-03-05,-860234.7
2025-03-06,-1064341.8
2025-03-07,-570332.81
2025-03-10,-640441.65
2025-03-11,-766952.4
2025-03-12,-794145.99
2025-03-13,-913968.8
2025-03-14,-967920.87
2025-03-17,-1121660.25
2025-03-18,-1167791.58
2025-03-19,-991372.68
2025-03-20,-786858.9
2025-03-21,-674111.75
2025-03-24,-234308.7
2025-03-25,-374302.94
2025-03-26,-474501.07
2025-03-27,-650069.56
2025-03-28,-117917.65
2025-03-31,
2025-04-01,
2025-04-02,-83603.07
2025-04-03,-96237.0
2025-04-04,-62497.45
2025-04-07,54595.27
2025-04-08,82921.06
2025-04-09,274024.86
2025-04-10,296675.76
2025-04-11,390372.86
2025-04-14,400277.66
2025-04-15,344518.66
2025-04-16,192534.06
2025-04-17,350140.76
2025-04-18,-77392.64
2025-04-21,184881.73
2025-04-22,135218.66
2025-04-23,
2025-04-24,102282.15
2025-04-25,251618.02
2025-04-28,264877.95
2025-04-29,309740.71
2025-04-30,457600.93
2025-05-01,
2025-05-02,542625.06
2025-05-05,628644.91
2025-05-06,534425.0
2025-05-07,438764.9
2025-05-08,684071.5
2025-05-09,773854.7
2025-05-12,631037.5
2025-05-13,365882.6
2025-05-14,357103.1
2025-05-15,212490.4
2025-05-16,115018.8
2025-05-19,
2025-05-20,48384.3
2025-05-21,23179.05
2025-05-22,-27706.16
2025-05-23,80120.7
2025-05-26,93649.75
2025-05-27,292451.6
2025-05-28,283240.7
2025-05-29,509698.9
2025-05-30,397278.4
2025-06-02,484068.8
2025-06-03,520376.7
2025-06-04,570071.5
2025-06-05,516255.6
2025-06-06,
2025-06-09,
2025-06-10,539354.2
2025-06-11,459382.18
2025-06-12,168879.37
2025-06-13,295142.92
2025-06-16,406082.7
2025-06-17,281890.8
2025-06-18,240073.9
2025-06-19,293156.2
2025-06-20,336001.67
2025-06-23,365845.8
2025-06-24,389035.8
2025-06-25,278776.67
2025-06-26,309923.88
2025-06-27,423456.9
2025-06-30,449401.3
2025-07-01,146183.92
2025-07-02,89913.4
2025-07-03,95397.5
2025-07-04,136823.94
2025-07-07,69087.84
2025-07-08,83948.97
2025-07-09,91890.4
2025-07-10,70960.86
2025-07-11,-137182.3
2025-07-14,-243418.7
2025-07-15,
2025-07-16,-310891.2
2025-07-17,-308781.3
2025-07-18,-382690.4
2025-07-21,-406268.6
2025-07-22,-471088.1
2025-07-23,-627912.18
2025-07-24,-747581.36
2025-07-25,-13507.37
2025-07-28,-260473.8
2025-07-29,-261839.6
2025-07-30,-222966.7
2025-07-31,-139843.63
2025-08-01,62939.34
2025-08-04,-27348.45
2025-08-05,-23692.68
2025-08-06,-89770.7
2025-08-07,-78952.6
2025-08-08,-133951.5
2025-08-11,-212353.1
2025-08-12,-223827.4
2025-08-13,-455632.11
2025-08-14,-612886.87
2025-08-15,-560868.04
2025-08-18,-536643.6
2025-08-19,-611585.17
2025-08-20,-298166.61
2025-08-21,-178037.6
2025-08-22,-252516.3
2025-08-25,-292414.3
2025-08-26,-444784.77
2025-08-27,-445891.9
2025-08-28,-387449.78
2025-08-29,-123138.0
2025-09-01,-238713.51
2025-09-02,-110779.2
2025-09-03,264611.63
2025-09-04,203742.1
2025-09-05,215200.5
2025-09-08,37366.4
2025-09-09,-1369.4
2025-09-10,86389.86
2025-09-11,-313358.79
2025-09-12,128525.5
2025-09-15,151207.4
2025-09-16,160880.81
2025-09-17,107.57
2025-09-18,-6559.3
2025-09-19,-145100.4
2025-09-22,-122864.9
2025-09-23,-207794.7
2025-09-24,-160769.3
2025-09-25,-266685.3
2025-09-26,-299791.46
2025-09-29,-275906.3
2025-09-30,-49111.1
2025-10-01,-348048.58
2025-10-02,-313126.9
2025-10-03,-320505.3
2025-10-06,-331054.05
2025-10-07,-365995.1
2025-10-08,-246543.8
2025-10-09,-397586.2
2025-10-10,-317673.35
2025-10-13,-605565.45
2025-10-14,-466049.3
2025-10-15,-402858.1
2025-10-16,-479436.1
2025-10-17,-588915.5
2025-10-20,-340922.8
2025-10-21,-339150.9
2025-10-22,-349276.0
2025-10-23,-476773.5
2025-10-24,-189397.7
2025-10-27,-329641.19
2025-10-28,-278782.55
2025-10-29,
2025-10-30,-293194.3
2025-10-31,-292647.7
2025-11-03,-300767.5
2025-11-04,-233773.3
2025-11-05,-249859.1
2025-11-06,-360041.8
2025-11-07,-171732.51
2025-11-10,-275741.6
2025-11-11,-265587.54
2025-11-12,-252601.3
2025-11-13,-429530.1
2025-11-14,-520053.0
2025-11-17,-494508.92
2025-11-18,-581192.57
2025-11-19,-593111.85
2025-11-20,-566276.2
2025-11-21,-402769.6
2025-11-24,-402771.3
2025-11-25,-423564.5
2025-11-26,-372696.2
2025-11-27,-367406.39
2025-11-28,-379288.6
2025-12-01,-435014.8
2025-12-02,-444643.2
2025-12-03,-419848.83
2025-12-04,-464351.65
2025-12-05,-331942.3
2025-12-08,-624455.32
2025-12-09,-617994.6
2025-12-10,-592188.4
2025-12-11,-865276.8
2025-12-12,-300459.7
2025-12-15,-353099.64
2025-12-16,-583641.5
2025-12-17,-597470.3
2025-12-18,-693372.8
2025-12-19,-676399.67
2025-12-22,-733606.3
2025-12-23,-763027.9
2025-12-24,-780470.6
2025-12-25,-932080.2
2025-12-26,-738141.2
2025-12-29,-801980.7
2025-12-30,-661093.3
2025-12-31,-461376.48
2026-01-01,
2026-01-02,-465180.0
2026-01-05,-523816.9
2026-01-06,-553951.6
2026-01-07,-495904.04
2026-01-08,-514619.3
2026-01-09,-622835.75
2026-01-12,-739897.6
2026-01-13,-1054157.6
2026-01-14,-1354003.6
2026-01-15,-1475123.1
2026-01-16,-1418362.42
2026-01-19,-1607539.5
2026-01-20,-1567123.25
2026-01-21,-1577462.9
2026-01-22,-1704699.2
2026-01-23,-1248569.43
2026-01-26,-1341867.85
2026-01-27,-1432058.0
2026-01-28,-1493941.1
2026-01-29,-1156386.1
2026-01-30,-840354.5
2026-02-02,-837345.3
2026-02-03,-775888.4
2026-02-04,-734302.0
2026-02-05,-740544.1
2026-02-06,-783582.1
2026-02-09,-768831.1
2026-02-10,-838347.1
2026-02-11,-843347.49
2026-02-12,-1009754.29
2026-02-13,-1066290.0
2026-02-16,-1151059.2
2026-02-17,-1138102.2
2026-02-18,-1204820.2
2026-02-19,-1143106.68
2026-02-20,-899295.0
2026-02-23,-820973.8
